GanAH1,1,6378210.6613,12740.1814,49093.2052
GanAH2,236,6378212.2918,12739.1155,49092.2941
GanAH3,430,6378209.9868,12739.0496,49091.8084
GanAH4,459,6378210.0592,12738.9565,49091.9157
GanAH5,591,6378211.4978,12738.6185,49092.1898
GanAH6,654,6378211.9245,12735.5161,49091.6959
GanAH7,693,6378211.6735,12735.4301,49091.7850
GanAH8,706,6378211.8109,12735.4104,49091.8716
GanAH9,831,6378212.1746,12735.5128,49092.5033
GanAH10,888,6378212.3885,12735.6019,49092.6744
GanAH11,1035,6378213.1596,12735.7480,49093.2997
GanAH12,1113,6378213.3006,12735.7748,49093.5269
GanAH13,1289,6378213.1254,12735.9368,49093.7371
GanAH14,1505,6378212.6400,12736.1574,49094.0017
GanAH15,1564,6378212.7213,12736.1711,49094.0805
GanAH16,1786,6378212.6778,12736.2264,49094.2753
GanAH17,1881,6378212.5247,12736.3234,49094.3394
GanAH18,2031,6378212.4103,12736.2651,49094.4680
GanAH19,2194,6378212.4897,12736.1609,49094.5530
GanAH20,2392,6378212.7472,12736.0241,49094.5641
GanAH21,2418,6378212.9004,12736.0151,49094.5548
GanAH22,2442,6378213.0239,12736.0158,49094.5348
GanAH23,2490,6378212.8773,12735.9676,49094.3248
GanAH24,2614,6378212.8601,12735.9568,49094.3932
GanAH25,2676,6378212.8843,12735.9574,49094.3979
GanAH26,2902,6378240.8374,12715.5516,48957.6367
GanAH27,2927,6378286.4282,12580.6168,48919.7340
GanAH28,2991,6378386.7397,12459.5497,49258.4857
GanAH29,3131,6378567.3422,12841.3970,49329.7475
GanAH30,3261,6378747.5494,12646.3653,48865.7045
GanAH31,3479,6378766.2271,12865.9702,48730.8911
GanAH32,3562,6378757.0472,13324.9699,48156.6885
GanAH33,3695,6378767.6830,13956.6378,47149.0031
GanAH34,3928,6378784.9207,15070.9851,45373.5428
GanAH35,4015,6378783.3284,15495.8590,44692.1953
GanAH36,4143,6378787.5840,14981.9287,44241.6117
GanAH37,4251,6378796.2418,14059.1005,44235.6075
GanAH38,4490,6378792.2847,11998.3207,44233.0128
GanAH39,4634,6378797.9073,10787.9055,44235.3539
GanAH40,4770,6378801.1954,9630.2390,44235.3162
GanAH41,4811,6378802.4799,9261.3664,44234.8337
GanAH42,4896,6378797.7770,8492.9930,44233.6425
GanAH43,4936,6378802.7937,7958.8532,44232.8667
GanAH44,5018,6378813.1023,7366.2356,44400.5096
GanAH45,5066,6378802.1617,7678.6089,44638.9540
GanAH46,5125,6378796.4686,8278.2518,44593.8089
GanAH47,5307,6378795.7091,10469.3227,44601.2532
GanAH48,5468,6378791.9574,12178.9021,44601.8911
GanAH49,5586,6378790.2549,13424.8575,44600.7283
GanAH50,5786,6378783.8088,15556.1953,44601.1712
GanAH51,5860,6378777.7331,15674.8589,45006.2097
GanAH52,6100,6378783.8030,13603.9323,44941.2091
GanAH53,6239,6378789.0389,12406.9787,44941.2683
GanAH54,6354,6378790.7971,11492.1373,44942.5672
GanAH55,6583,6378794.5885,9607.1828,44939.9245
GanAH56,6659,6378799.7106,8948.9637,44940.6743
GanAH57,6846,6378804.3169,7472.9263,45149.8606
GanAH58,7026,6378790.7261,9233.6950,45277.8630
GanAH59,7181,6378787.9618,10873.3810,45277.5987
GanAH60,7305,6378785.9467,12189.1203,45277.6446
GanAH61,7553,6378781.0932,14778.3917,45278.3393
GanAH62,7773,6378775.4727,14918.9258,45596.9669
GanAH63,7847,6378785.4052,14277.9325,45596.5232
GanAH64,8004,6378788.0793,12907.2870,45593.2670
GanAH65,8059,6378783.6441,12427.9262,45593.0738
GanAH66,8303,6378785.5507,10231.5091,45593.5437
GanAH67,8521,6378790.4386,8306.3919,45592.0156
GanAH68,8535,6378791.1584,8184.4904,45592.9385
GanAH69,8777,6378788.1983,8860.1937,45908.0332
GanAH70,8959,6378790.3124,10675.1597,45913.8816
GanAH71,9179,6378781.3441,12952.2837,45915.9517
GanAH72,9269,6378783.2861,13896.4171,45915.5450
GanAH73,9514,6378778.7912,15408.2518,46287.1559
GanAH74,9587,6378772.2097,14756.2053,46234.4534
GanAH75,9751,6378779.1592,13339.0662,46232.2844
GanAH76,9897,6378781.3843,12053.0116,46230.4130
GanAH77,10145,6378785.6336,9893.4400,46231.2746
GanAH78,10352,6378793.5261,8162.3942,46230.9791
GanAH79,10514,6378870.5877,8114.7747,46743.3231
GanAH80,10700,6378904.0551,9645.3013,47481.6477
GanAH81,10833,6378841.7121,10872.8789,48091.5800
GanAH82,10962,6378792.0887,12025.0595,48691.1278
GanAH83,11129,6378759.9846,12681.5292,49570.5966
GanAH84,11315,6378667.4758,12862.5941,49278.6154
GanAH85,11362,6378585.8819,12585.8258,49465.3697
GanAH86,11371,6378575.6819,12613.9794,49540.1065
GanAH87,11587,6378339.8365,12476.2852,48961.1805
GanAH88,11794,6378308.9093,12725.5662,49020.0879
GanAH89,11984,6378372.3438,12675.0785,49265.4320
GanAH90,12147,6378532.8843,13052.0934,49031.2655
GanAH91,12359,6378756.8065,12972.0271,49308.6702
GanAH92,12483,6378758.7938,12641.0313,48872.6324
GanAH93,12699,6378763.2925,12888.8776,48891.6692
GanAH94,12733,6378765.9080,12995.1853,48678.5381
GanAH95,12850,6378801.2824,13475.0781,48541.1438
GanAH96,13085,6378748.0458,12904.9183,49375.1039
GanAH97,13332,6378423.3824,12923.4857,49325.5519
GanAH98,13334,6378424.4910,12937.7669,49320.8228
GanAH99,13562,6378271.6893,12925.5377,49029.2796
GanAH100,13785,6378217.1647,12682.8925,49067.8704
